,accommodates,bedrooms,bathrooms,minstay,latitude,longitude,Entire home/apt,Private room,Shared room,price
411,2,1.0,0.0,2.0,37.582101,127.004458,0.0,1.0,0.0,36
412,4,1.0,1.0,1.0,37.580773,127.005599,0.0,0.0,1.0,19
413,2,1.0,3.0,1.0,37.592748,127.036773,0.0,1.0,0.0,43
421,4,1.0,1.0,1.0,37.561116,126.926124,0.0,1.0,0.0,60
422,2,1.0,1.0,7.0,37.517491,127.018681,1.0,0.0,0.0,79
423,2,1.0,0.0,1.0,37.562226,126.926389,0.0,1.0,0.0,31
424,8,1.0,2.0,1.0,37.576557,127.004833,0.0,1.0,0.0,61
425,5,1.0,0.0,0.0,37.562375,126.926676,0.0,1.0,0.0,76
427,4,1.0,1.0,2.0,37.52819,126.908882,1.0,0.0,0.0,36
428,4,1.0,1.0,3.0,37.555616,126.969326,1.0,0.0,0.0,60
429,2,1.0,1.0,0.0,37.562253,126.92809,1.0,0.0,0.0,43
430,2,1.0,2.0,1.0,37.547395,127.070036,0.0,1.0,0.0,53
432,2,1.0,1.0,2.0,37.574732,126.984767,1.0,0.0,0.0,50
433,6,1.0,1.0,1.0,37.512456,126.915161,0.0,1.0,0.0,40
434,2,1.0,2.0,1.0,37.547657,127.071728,0.0,1.0,0.0,53
435,2,1.0,2.0,1.0,37.54769,127.070101,0.0,1.0,0.0,53
436,10,1.0,1.0,2.0,37.550217,126.913129,0.0,0.0,1.0,13
437,1,1.0,1.0,1.0,37.590979,127.036134,0.0,1.0,0.0,30
439,6,1.0,1.0,1.0,37.565853,126.994919,1.0,0.0,0.0,61
440,6,1.0,1.0,2.0,37.567935,126.994391,1.0,0.0,0.0,48
442,5,2.0,1.0,1.0,37.510353,127.052273,1.0,0.0,0.0,155
443,4,1.0,1.0,1.0,37.55529,126.93057,1.0,0.0,0.0,55
444,6,3.0,2.0,2.0,37.584005,126.987608,1.0,0.0,0.0,157
446,2,1.0,1.0,5.0,37.504927,127.02162,1.0,0.0,0.0,82
